答案如下
第1题答案    20'1/3
第214题答案    3'4/7
第215题答案    6/19
第216题答案    4'1/7
第217题答案    51
第218题答案    10'2/7
第219题答案    5'1/14
第220题答案    6'1/3
第221题答案    7'2/3
第222题答案    2'1/3
第223题答案    3'1/3
第224题答案    2'1/3
第225题答案    8'11/12
第226题答案    7'7/9
第227题答案    1
第228题答案    1/4
第229题答案    18
第230题答案    1/8
第231题答案    8
第232题答案    2/35
第233题答案    1'4/7
第234题答案    15'1/8
第235题答案    72
第236题答案    3
第237题答案    7
第238题答案    12'1/9
第239题答案    50
第240题答案    7'3/4
第241题答案    9
第242题答案    2
第243题答案    6
第244题答案    1/24
第245题答案    6'3/5
第246题答案    26
第247题答案    21
第248题答案    4'3/10
第249题答案    72
第250题答案    14
第251题答案    4/15
第252题答案    448
第253题答案    162
第254题答案    2/3
第255题答案    1'4/5
第256题答案    63
第257题答案    3/50
第258题答案    2/63
第259题答案    1
第260题答案    19
第261题答案    4'1/2
第262题答案    9/10
第263题答案    810
第264题答案    3'1/2
第265题答案    6'2/5
第266题答案    5
第267题答案    4
第268题答案    1'2/5
第269题答案    21'1/3
第270题答案    8
第271题答案    14/15
第272题答案    7/27
第273题答案    2/63
第274题答案    15
第275题答案    2'3/10
第276题答案    6'1/10
第277题答案    5'2/9
第278题答案    8'1/7
第279题答案    2/133
第280题答案    7
第281题答案    8'1/2
第282题答案    51
第283题答案    9'1/3
第284题答案    9
第285题答案    1'1/6
第286题答案    540
第287题答案    9'1/7
第288题答案    1
第289题答案    6/35
第290题答案    48
第291题答案    3
第292题答案    19/32
第293题答案    3'4/5
第294题答案    3'8/9
第295题答案    8'1/8
第296题答案    9'3/4
第297题答案    11'61/70
第298题答案    1'7/8
第299题答案    8'3/4
第300题答案    4
第301题答案    2/5
第302题答案    3/50
第303题答案    12'6/7
第304题答案    6
第305题答案    5
第306题答案    16'3/5
第307题答案    12'4/9
第308题答案    3'1/2
第309题答案    10'1/3
第310题答案    1'2/3
第311题答案    1/8
第312题答案    7'17/56
第313题答案    2'2/5
第314题答案    6'1/4
第315题答案    7
第316题答案    14
第317题答案    2
第318题答案    49
第319题答案    3/280
第320题答案    15
第321题答案    3/8
第322题答案    9/40
第323题答案    4'1/10
第324题答案    8'1/3
第325题答案    2'43/45
第326题答案    1/15
第327题答案    2'1/18
第328题答案    0
第329题答案    14/81
第330题答案    3/4
第331题答案    2'2/5
第332题答案    7/9
第333题答案    7'1/7
第334题答案    1'1/49
第335题答案    13'5/7
第336题答案    9'1/3
第337题答案    54
第338题答案    1/9
第339题答案    43/72
第340题答案    45
第341题答案    1/36
第342题答案    1'3/7
第343题答案    22
第344题答案    40
第345题答案    9/14
第346题答案    120
第347题答案    9'2/5
第348题答案    1'1/4
第349题答案    10
第350题答案    9'2/5
第351题答案    9
第352题答案    1'16/21
第353题答案    4/7
第354题答案    6'5/8
第355题答案    21'1/3
第356题答案    2'1/2
第357题答案    9'2/3
第358题答案    3/10
第359题答案    3/10
第360题答案    1
第361题答案    6'2/9
第362题答案    2'2/3
第363题答案    36
第364题答案    3'3/5
第365题答案    3
第366题答案    1/5
第367题答案    25/42
第368题答案    1'9/10
第369题答案    2'3/4
第370题答案    13'1/7
第371题答案    7/36
第372题答案    2'2/9
第373题答案    10
第374题答案    1/20
第375题答案    9
第376题答案    18'1/10
第377题答案    40
第378题答案    2'1/2
第379题答案    51
第380题答案    4'1/2
第381题答案    3'7/10
第382题答案    4'28/45
第383题答案    2'2/9
第384题答案    13
第385题答案    1/30
第386题答案    1/4
第387题答案    9'2/9
第388题答案    4
第389题答案    2/3
第390题答案    13
第391题答案    2
第392题答案    38
第393题答案    1/4
第394题答案    4/15
第395题答案    1'1/2
第396题答案    3
第397题答案    12
第398题答案    14'3/4
第399题答案    7'3/7
第400题答案    1/35
第401题答案    1'2/7
第402题答案    5'5/6
第403题答案    1'2/3
第404题答案    5'35/36
第405题答案    29
第406题答案    31
第407题答案    3'8/9
第408题答案    1'1/2
第409题答案    0
第410题答案    3'2/15
第411题答案    70
第412题答案    7/32
第413题答案    18'1/4
第414题答案    1'2/3
第415题答案    5/8
第416题答案    1/10
第417题答案    8
第418题答案    12'6/7
第419题答案    7'2/3
第420题答案    9
第421题答案    55
第422题答案    1/20
第423题答案    40
第424题答案    7'7/20
第425题答案    15'1/2
第426题答案    1'3/5
第427题答案    9
第428题答案    7'1/5
第429题答案    79/100
第430题答案    2
第431题答案    3'2/3
第432题答案    63
第433题答案    1'3/5
第434题答案    1/7
第435题答案    2'2/9
第436题答案    6'4/9
第437题答案    31'1/2
第438题答案    6'1/9
第439题答案    7'1/3
第440题答案    2'1/3
第441题答案    12'1/3
第442题答案    5'5/6
第443题答案    32/81
第444题答案    4/15
第445题答案    8
第446题答案    9'1/6
第447题答案    1/12
第448题答案    64
第449题答案    35
第450题答案    1/8
第451题答案    22'6/7
第452题答案    28
第453题答案    1/2
第454题答案    26
第455题答案    6'2/3
第456题答案    8
第457题答案    9'1/7
第458题答案    5/12
第459题答案    2'1/2
第460题答案    7'7/8
第461题答案    20
第462题答案    7/20
第463题答案    8
第464题答案    8'1/4
第465题答案    5/7
第466题答案    1/6
第467题答案    1/15
第468题答案    1/30
第469题答案    1'3/4
第470题答案    1'1/2
第471题答案    32/35
第472题答案    3
第473题答案    8
第474题答案    9/10
第475题答案    3'1/2
第476题答案    3'8/9
第477题答案    5
第478题答案    21/40
第479题答案    2
第480题答案    1'1/10
第481题答案    1
第482题答案    16/35
第483题答案    32
第484题答案    8
第485题答案    120
第486题答案    1/35
第487题答案    3
第488题答案    3
第489题答案    6'2/5
第490题答案    8'3/4
第491题答案    6'3/4
第492题答案    20
第493题答案    8'3/5
第494题答案    7
第495题答案    18
第496题答案    12'7/9
第497题答案    3
第498题答案    17'1/2
第499题答案    3/14
第500题答案    6/35
第501题答案    16
第502题答案    3'2/9
第503题答案    3'13/35
第504题答案    1/25
第505题答案    10'2/27
第506题答案    72
第507题答案    0
第508题答案    2
第509题答案    96
第510题答案    11'2/3
第511题答案    4'1/8
第512题答案    1/2
第513题答案    3'3/4
第514题答案    4'3/5
第515题答案    1
第516题答案    13'4/7
第517题答案    16
第518题答案    63
第519题答案    12
第520题答案    13
第521题答案    1'7/10
第522题答案    1'2/5
第523题答案    8
第524题答案    4
第525题答案    9
第526题答案    5'3/5
第527题答案    25
第528题答案    1'3/8
第529题答案    2'1/4
第530题答案    2'19/20
第531题答案    1'2/5
第532题答案    6'3/5
第533题答案    18
第534题答案    12
第535题答案    15'2/3
第536题答案    160
第537题答案    5
第538题答案    1'17/63
第539题答案    6'3/8
第540题答案    20'1/2
第541题答案    3'7/8
第542题答案    10'1/2
第543题答案    2/63
第544题答案    6/7
第545题答案    1/8
第546题答案    5/6
第547题答案    5'1/3
第548题答案    1'5/9
第549题答案    5'3/10
第550题答案    75
第551题答案    9'3/7
第552题答案    30
第553题答案    2/3
第554题答案    2'4/7
第555题答案    1'5/7
第556题答案    1/5
第557题答案    28
第558题答案    2/21
第559题答案    14
第560题答案    5
第561题答案    6/7
第562题答案    10
第563题答案    9
第564题答案    9/10
第565题答案    10
第566题答案    2'2/15
第567题答案    1'5/12
第568题答案    9'6/7
第569题答案    50
第570题答案    2/3
第571题答案    5
第572题答案    4
第573题答案    3
第574题答案    19
第575题答案    4/45
第576题答案    1/16
第577题答案    1'4/9
第578题答案    11
第579题答案    7'1/7
第580题答案    1/3
第581题答案    7/16
第582题答案    7'1/2
第583题答案    4'3/8
第584题答案    5/8
第585题答案    2'4/7
第586题答案    10'1/16
第587题答案    1'5/7
第588题答案    10'5/8
第589题答案    11'2/3
第590题答案    3/8
第591题答案    1/2
第592题答案    9'1/4
第593题答案    15/16
第594题答案    4'2/5
第595题答案    11'2/3
第596题答案    9/40
第597题答案    1'1/36
第598题答案    9
第599题答案    1/5
第600题答案    5'3/10
第601题答案    42
第602题答案    3/4
第603题答案    7'1/2
第604题答案    9'5/7
第605题答案    3'5/9
第606题答案    4'7/9
第607题答案    11'1/4
第608题答案    3'1/8
第609题答案    5'1/3
第610题答案    7'7/8
第611题答案    41
第612题答案    1'1/6
第613题答案    8'8/9
第614题答案    2'1/3
第615题答案    4'1/24
第616题答案    9'2/7
第617题答案    7'8/9
第618题答案    1'2/15
第619题答案    3/56
第620题答案    12
第621题答案    3'1/5
第622题答案    7'7/24
第623题答案    40'1/5
第624题答案    32
第625题答案    2'1/14
第626题答案    8'5/8
第627题答案    1'4/7
第628题答案    7'1/2
第629题答案    7/132
第630题答案    1/4
第631题答案    10'1/5
第632题答案    8'2/9
第633题答案    14
第634题答案    13'1/3
第635题答案    6
第636题答案    1'11/35
第637题答案    2'1/2
第638题答案    6
第639题答案    36'3/5
第640题答案    25'7/9
第641题答案    9'3/8
第642题答案    1
第643题答案    1'1/9
第644题答案    2/15
第645题答案    1'4/5
第646题答案    3/16
第647题答案    7/9
第648题答案    3'2/7
第649题答案    1'3/4
第650题答案    16/27
第651题答案    24'1/4
第652题答案    7/50
第653题答案    2/3
第654题答案    3
第655题答案    12/13
第656题答案    2'2/3
第657题答案    6'1/2
第658题答案    3'3/7
第659题答案    16
第660题答案    7'1/16
第661题答案    42
第662题答案    17
第663题答案    5/12
第664题答案    17/80
第665题答案    6
第666题答案    10'1/2
第667题答案    2
第668题答案    1/3
第669题答案    12
第670题答案    40'5/6
第671题答案    6'3/5
第672题答案    15
第673题答案    2'13/14
第674题答案    18
第675题答案    17
第676题答案    21
第677题答案    1'7/8
第678题答案    1'1/10
第679题答案    10
第680题答案    2'1/4
第681题答案    2'6/7
第682题答案    10
第683题答案    1/5
第684题答案    9
第685题答案    3
第686题答案    4'59/64
第687题答案    1'5/9
第688题答案    6
第689题答案    3
第690题答案    3'4/7
第691题答案    108
第692题答案    7'1/8
第693题答案    5/7
第694题答案    30'2/3
第695题答案    4'9/10
第696题答案    1'11/30
第697题答案    25
第698题答案    8'1/5
第699题答案    9'1/3
第700题答案    3'1/3
第701题答案    22'1/2
第702题答案    3/50
第703题答案    1/126
第704题答案    7
第705题答案    1'1/45
第706题答案    18'2/3
第707题答案    1'1/3
第708题答案    1/10
第709题答案    3
第710题答案    2
第711题答案    3'5/6
第712题答案    9/16
第713题答案    8
第714题答案    5'2/5
第715题答案    6'2/3
第716题答案    1'2/7
第717题答案    4/81
第718题答案    2'20/21
第719题答案    7'1/4
第720题答案    1/3
第721题答案    24
第722题答案    2
第723题答案    28'2/3
第724题答案    1'11/14
第725题答案    13/24
第726题答案    15
第727题答案    7
第728题答案    9'5/6
第729题答案    1'19/24
第730题答案    2'1/4
第731题答案    5/42
第732题答案    14
第733题答案    4/7
第734题答案    63
第735题答案    13'7/8
第736题答案    2/9
第737题答案    1/105
第738题答案    5'3/8
第739题答案    200
第740题答案    26'2/3
第741题答案    14/15
第742题答案    5'1/3
第743题答案    2'1/3
第744题答案    14
第745题答案    2'2/7
第746题答案    14'2/5
第747题答案    5/21
第748题答案    13/27
第749题答案    1'3/4
第750题答案    2'1/2
第751题答案    9/170
第752题答案    12
第753题答案    5'3/10
第754题答案    5/9
第755题答案    4/315
第756题答案    3'1/2
第757题答案    10
第758题答案    8'1/10
第759题答案    7'41/56
第760题答案    100
第761题答案    2/21
第762题答案    1/4
第763题答案    8
第764题答案    7'7/10
第765题答案    2/15
第766题答案    5
第767题答案    1'3/14
第768题答案    2'4/5
第769题答案    3'8/9
第770题答案    10'2/7
第771题答案    6
第772题答案    1'1/2
第773题答案    4'2/7
第774题答案    5'6/7
第775题答案    4'20/21
第776题答案    2'7/10
第777题答案    27'7/9
第778题答案    12
第779题答案    1
第780题答案    2'7/9
第781题答案    2
第782题答案    13
第783题答案    14'3/5
第784题答案    14'1/5
第785题答案    1'1/8
第786题答案    175
第787题答案    14
第788题答案    24
第789题答案    25'3/5
第790题答案    2/21
第791题答案    1'5/13
第792题答案    24
第793题答案    1/10
第794题答案    0
第795题答案    11'2/5
第796题答案    47/70
第797题答案    10'2/3
第798题答案    3'3/5
第799题答案    4'27/35
第800题答案    50
第801题答案    5/7
第802题答案    60/71
第803题答案    1'1/3
第804题答案    20
第805题答案    5'37/42
第806题答案    2/7
第807题答案    5'5/9
第808题答案    8'9/10
第809题答案    12
第810题答案    20'1/4
第811题答案    6'1/4
第812题答案    15'1/6
第813题答案    17/40
第814题答案    18
第815题答案    6'2/3
第816题答案    3/4
第817题答案    4'1/2
第818题答案    1/8
第819题答案    1'1/3
第820题答案    5
第821题答案    9
第822题答案    18
第823题答案    11'1/10
第824题答案    3/7
第825题答案    5
第826题答案    1/27
第827题答案    5/36
第828题答案    1/12
第829题答案    7/25
第830题答案    7'1/6
第831题答案    5'2/7
第832题答案    1'4/5
第833题答案    24
第834题答案    4/15
第835题答案    20/63
第836题答案    1'13/20
第837题答案    11'3/5
第838题答案    4/7
第839题答案    6/7
第840题答案    3'9/56
第841题答案    2/27
第842题答案    7'5/7
第843题答案    20
第844题答案    18/49
第845题答案    1'2/9
第846题答案    3/4
第847题答案    17'9/10
第848题答案    13/18
第849题答案    1/6
第850题答案    1/18
第851题答案    2/7
第852题答案    6'4/5
第853题答案    9'1/2
第854题答案    7
第855题答案    30
第856题答案    8'1/9
第857题答案    16'1/3
第858题答案    8
第859题答案    1'1/5
第860题答案    1'1/2
第861题答案    6'5/6
第862题答案    8'29/36
第863题答案    3/4
第864题答案    12'2/3
第865题答案    72
第866题答案    10'3/8
第867题答案    30
第868题答案    11'3/4
第869题答案    2'1/5
第870题答案    1'1/4
第871题答案    4/35
第872题答案    9/10
第873题答案    9'1/8
第874题答案    21/320
第875题答案    1/54
第876题答案    6
第877题答案    9/56
第878题答案    6'3/7
第879题答案    4'1/2
第880题答案    1'5/24
第881题答案    2/9
第882题答案    6'2/3
第883题答案    14'5/8
第884题答案    16'4/5
第885题答案    1'2/5
第886题答案    5/21
第887题答案    1/5
第888题答案    1'17/18
第889题答案    4'4/5
第890题答案    105
第891题答案    34'2/7
第892题答案    4/9
第893题答案    504
第894题答案    43
第895题答案    1'8/9
第896题答案    3'1/7
第897题答案    12
第898题答案    9'1/3
第899题答案    51'3/7
第900题答案    3'19/35
第901题答案    4'2/3
第902题答案    20'1/4
第903题答案    4
第904题答案    1
第905题答案    1'1/2
第906题答案    5'2/3
第907题答案    25/42
第908题答案    7/15
第909题答案    12
第910题答案    6'2/3
第911题答案    6'2/9
第912题答案    40
第913题答案    3'5/9
第914题答案    9'3/4
第915题答案    2'1/6
第916题答案    9
第917题答案    5'58/63
第918题答案    1/72
第919题答案    30
第920题答案    120
第921题答案    23'1/3
第922题答案    52
第923题答案    8'4/7
第924题答案    4
第925题答案    8'6/7
第926题答案    13/20
第927题答案    6'3/7
第928题答案    5'9/10
第929题答案    10'9/10
第930题答案    3/8
第931题答案    11'3/8
第932题答案    2/35
第933题答案    10'5/8
第934题答案    1'3/4
第935题答案    0
第936题答案    4/175
第937题答案    5'17/45
第938题答案    1/9
第939题答案    10'29/30
第940题答案    10'26/63
第941题答案    1/2
第942题答案    28
第943题答案    18
第944题答案    1/6
第945题答案    10'9/10
第946题答案    1'1/9
第947题答案    6'4/7
第948题答案    40
第949题答案    7
第950题答案    1/21
第951题答案    3'5/6
第952题答案    4'1/3
第953题答案    1/5
第954题答案    49
第955题答案    4/15
第956题答案    1'1/3
第957题答案    1/5
第958题答案    4/17
第959题答案    2'2/3
第960题答案    32
第961题答案    5'7/9
第962题答案    2
第963题答案    14'1/3
第964题答案    1/9
第965题答案    2'2/5
第966题答案    21
第967题答案    6'2/3
第968题答案    82'1/2
第969题答案    3/7
第970题答案    135
第971题答案    5'1/4
第972题答案    1'3/32
第973题答案    6
第974题答案    1'3/25
第975题答案    4/7
第976题答案    8
第977题答案    7'5/9
第978题答案    9/44
第979题答案    1'1/2
第980题答案    7
第981题答案    14
第982题答案    1
第983题答案    3/8
第984题答案    1/4
第985题答案    1'8/27
第986题答案    1'1/9
第987题答案    1/4
第988题答案    4'4/49
第989题答案    6
第990题答案    1'1/3
第991题答案    3
第992题答案    3
第993题答案    13'1/3
第994题答案    0
第995题答案    29
第996题答案    16
第997题答案    12'1/2
第998题答案    23'2/3
第999题答案    12'3/10
第1000题答案    2'13/18
